ID,TITRE,PRIX,ARR,LINK,M2,PIECES
805,Paris apartment rental near Martyrs,1800,,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-martyrs/6802614793.html,63,
806,Renovated**1 Bedroom Apartment**,1599,Paris Censier Daubenton - Rue du Fer a Moulin,https://paris.craigslist.org/apa/d/renovated1-bedroom-apartment/6802605733.html,,
807,- 1 Bedroom  apartment adjacent to Metro Cambronne-,1550,Paris Cambronne - Villa Croix Nivert,https://paris.craigslist.org/apa/d/1-bedroom-apartment-adjacent-to-metro/6802603746.html,,
808,Spacious 1 Bedroom Apartment - 36m2,1499,Paris Victor Hugo - Rue Lauriston,https://paris.craigslist.org/apa/d/spacious-1-bedroom-apartment-36m2/6802603018.html,,
809,Furnished 50m2 apartment with balcony,1499,Paris Buttes Chaumont- Rue Compans,https://paris.craigslist.org/apa/d/furnished-50m2-apartment-with-balcony/6802602153.html,,
810,1-bedroom apartment  next to Montmartre and Sacré Coeur,1050,Paris Montmartre - Rue Labat,https://paris.craigslist.org/apa/d/1-bedroom-apartment-next-to-montmartre/6802590100.html,,
811,Charming and quiet studio,1099,Paris Glaciere - Rue des Tanneries -,https://paris.craigslist.org/apa/d/charming-and-quiet-studio/6802593526.html,,
812,Apartment ( in the heart of the 14th district),1299,Paris Pernety - Rue de la Sabliere -,https://paris.craigslist.org/apa/d/apartment-in-the-heart-of-the-14th/6802596912.html,,
813,Calm and sunny fully furnished apartment,1299,Paris Marcadet Poissonieres Rue Marcadet,https://paris.craigslist.org/apa/d/calm-and-sunny-fully-furnished-apartment/6802595794.html,,
814,A 24 sqm studio in Montmartre,1090,Paris Abbesses - Rue Durantin,https://paris.craigslist.org/apa/d/24-sqm-studio-in-montmartre/6802592364.html,,
815,Your flat in Paris for a long term stay,,Paris,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6802565506.html,,
816,Furnished 2BR apartment (46sqm) rue Berzélius,1550,Paris 17th arrondissement,https://paris.craigslist.org/apa/d/furnished-2br-apartment-46sqm-rue/6802565393.html,46,
817,House à Place d'Italie,1650,13ème arrondissement,https://paris.craigslist.org/apa/d/house-place-ditalie/6802565176.html,60,
818,"1BR, 50sqm, avenue du General Leclerc",1600,14th arrondissement,https://paris.craigslist.org/apa/d/1br-50sqm-avenue-du-general-leclerc/6802565021.html,50,
819,A furnished apartment in Paris,450,6th Arrondissement,https://paris.craigslist.org/apa/d/furnished-apartment-in-paris/6802547495.html,,1
820,LOUVRE LOVELY APARTMENT LOCATED IN PARIS,600,Rue Pierre Lescot,https://paris.craigslist.org/apa/d/louvre-lovely-apartment-located-in-paris/6802553358.html,30,1
821,Studio Apartment In Rue des Jeuneurs,550,Paris,https://paris.craigslist.org/apa/d/studio-apartment-in-rue-des-jeuneurs/6802555240.html,15,1
822,LOUVRE LOVELY APARTMENT LOCATED IN PARIS,600,Rue Pierre Lescot,https://paris.craigslist.org/apa/d/louvre-lovely-apartment-located-in-paris/6802553234.html,30,1
823,Studio Apartment In Rue des Jeuneurs,550,Paris,https://paris.craigslist.org/apa/d/studio-apartment-in-rue-des-jeuneurs/6802554905.html,15,1
824,This Beautiful Studio apt available in 7th arrondissement,450,7th arrondissement,https://paris.craigslist.org/apa/d/this-beautiful-studio-apt-available-in/6802550928.html,,1
825,Apartment on Rue Commines,1000,5th arrondissement,https://paris.craigslist.org/apa/d/apartment-on-rue-commines/6802541228.html,30,
826,Apartment in Paris for monthly rental,,Paris,https://paris.craigslist.org/apa/d/apartment-in-paris-for-monthly-rental/6802541137.html,,
827,Paris apartment rental near Martyrs,1800,,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-martyrs/6802541050.html,63,
828,Studio Avenue Georges Mandel,1450,16ème  arrondissement,https://paris.craigslist.org/apa/d/studio-avenue-georges-mandel/6802540968.html,36,
829,Studio à Strasbourg Saint Denis,850,10ème arrondissement,https://paris.craigslist.org/apa/d/studio-strasbourg-saint-denis/6802540876.html,16,
830,Studio Luxueux Aux Buttes Chaumont,500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6781653141.html,27,1
831,Your flat in Paris for a long term stay,,Paris,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6802533620.html,,
832,Paris apartment rental near Buttes Chaumont,1350,,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-buttes/6802533498.html,40,
833,"2ème arrondissement, Studio rue de Richelieu",900,2ème arrondissement,https://paris.craigslist.org/apa/d/2me-arrondissement-studio-rue-de/6802533230.html,18,
834,Studio Apartment In Rue des Jeuneurs,550,Paris,https://paris.craigslist.org/apa/d/studio-apartment-in-rue-des-jeuneurs/6781441520.html,15,1
835,Studio Apartment In Rue des Jeuneurs,550,Paris,https://paris.craigslist.org/apa/d/studio-apartment-in-rue-des-jeuneurs/6781444457.html,15,1
836,Studio near Rue etienne Marce,600,Paris,https://paris.craigslist.org/apa/d/studio-near-rue-etienne-marce/6802387966.html,,1
837,LOUVRE LOVELY APARTMENT LOCATED IN PARIS,600,Rue Pierre Lescot,https://paris.craigslist.org/apa/d/louvre-lovely-apartment-located-in-paris/6788868463.html,30,1
838,Lovely Apartment In Paris,450,Passage Thiéré,https://paris.craigslist.org/apa/d/lovely-apartment-in-paris/6787382135.html,13,1
839,Studio Apartment In Rue des Jeuneurs,550,Paris,https://paris.craigslist.org/apa/d/studio-apartment-in-rue-des-jeuneurs/6781441680.html,15,1
840,Studio Luxueux Aux Buttes Chaumont,500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6782710165.html,27,1
841,- 1 bedroom Apartment *is very well located*,1590,Paris Bastille Marais - Bd Richard Lenoir,https://paris.craigslist.org/apa/d/1-bedroom-apartment-is-very-well-located/6801788438.html,,
842,"1BR (26sqm), Rue des Roses",900,18th arrondissement,https://paris.craigslist.org/apa/d/1br-26sqm-rue-des-roses/6801827875.html,26,
843,Apartment studio near Villiers in Paris,950,17th arrondissement,https://paris.craigslist.org/apa/d/apartment-studio-near-villiers-in-paris/6801826414.html,23,
844,- Studio -One block from metro Rambuteau,1699,Paris Marais - Rue des Haudriettes,https://paris.craigslist.org/apa/d/studio-one-block-from-metro-rambuteau/6801797906.html,,
845,Your flat in Paris for a long term stay,,Paris,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6801823648.html,,
846,"4th district, Studio Rue St Louis en l' Ile",1300,4th arrondissement,https://paris.craigslist.org/apa/d/4th-district-studio-rue-st-louis-en-ile/6801820966.html,,
847,Paris apartment rental near Invalides,2100,7th arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-invalides/6801819238.html,58,
848,Furnished 1 Bedroom Apartment  - 43m2,1599,Paris Censier Daubenton - Rue du Fer a Moulin,https://paris.craigslist.org/apa/d/furnished-1-bedroom-apartment-43m2/6801791684.html,,
849,One Bedroom  between Republique and Belleville,1299,Paris Goncourt - Rue Arthur Groussier,https://paris.craigslist.org/apa/d/one-bedroom-between-republique-and/6801771702.html,,
850,- 1 Bedroom - apartment adjacent to Metro Cambronne,1550,Paris Cambronne - Villa Croix Nivert,https://paris.craigslist.org/apa/d/1-bedroom-apartment-adjacent-to-metro/6801785908.html,,
851,Spacious 1 Bedroom Apartment @ 36m2,1499,Paris Victor Hugo - Rue Lauriston,https://paris.craigslist.org/apa/d/spacious-1-bedroom-apartment-36m2/6801784675.html,,
852,One bedroom apartment fully furnished,1050,Paris Montmartre - Rue Labat,https://paris.craigslist.org/apa/d/one-bedroom-apartment-fully-furnished/6801766659.html,,
853,Furnished 50 m2 apartment with balcony,1499,Paris Buttes Chaumont- Rue Compans,https://paris.craigslist.org/apa/d/furnished-50-m2-apartment-with-balcony/6801783824.html,,
854,- Studio -in a safe building with digital code,1100,Paris Avenue la Motte Piquet - Boulevard Grenelle,https://paris.craigslist.org/apa/d/studio-in-safe-building-with-digital/6801768536.html,,
855,Studio with elevator in perfect condition,800,Paris Passy - Rue Benjamin Franklin,https://paris.craigslist.org/apa/d/studio-with-elevator-in-perfect/6801764610.html,,
856,- 1 Bedroom in the heart of the 14th district,1299,Paris Pernety - Rue de la Sabliere,https://paris.craigslist.org/apa/d/1-bedroom-in-the-heart-of-the-14th/6801770601.html,,
857,Sunny/Bright  1 bedroom Apartment,2100,North-West Neuilly-sur-Seine-Rue Chauveau,https://paris.craigslist.org/apa/d/sunny-bright-1-bedroom-apartment/6801754866.html,,
858,A 24 sqm studio in Montmartre,1090,Paris Abbesses - Rue Durantin,https://paris.craigslist.org/apa/d/24-sqm-studio-in-montmartre/6801767357.html,,
859,Large one bedroom (2 Flights Up),2575,Paris Voltaire - Avenue Parmentier-,https://paris.craigslist.org/apa/d/large-one-bedroom-2-flights-up/6801756059.html,,
860,- Studio - apartment in a great location,750,Paris Bastille - Rue de Charonne,https://paris.craigslist.org/apa/d/studio-apartment-in-great-location/6801762711.html,,
861,- 3 Bedroom apartment with balcony-,2999,North-West St Cloud - Allee Florent Schmitt,https://paris.craigslist.org/apa/d/3-bedroom-apartment-with-balcony/6801757532.html,,
862,Loft apartment>>right next to the Canal Saint Martin.,3399,Paris Jaques Bonsergent - Canal Saint Martin-,https://paris.craigslist.org/apa/d/loft-apartmentright-next-to-the-canal/6801758961.html,,
863,- 2 Bedroom  apartment with elevator and balcony,2299,Paris Wagram - Rue Philibert Delorme,https://paris.craigslist.org/apa/d/2-bedroom-apartment-with-elevator-and/6801755342.html,,
864,"Stylish and modern rooftop apartment, with terrace*",1950,Paris Rambuteau - Rue St Martin,https://paris.craigslist.org/apa/d/stylish-and-modern-rooftop-apartment/6801754094.html,,
865,Grand appartement Rue Etienne Marcel,2700,2ème arrondissement,https://paris.craigslist.org/apa/d/grand-appartement-rue-etienne-marcel/6801741416.html,100,
866,Your flat in Paris for a long term stay,,Paris,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6801741201.html,,
867,"Appartement 2 chambres, Rue Custine",1990,18ème arrondissement,https://paris.craigslist.org/apa/d/appartement-2-chambres-rue-custine/6801741062.html,57,
868,Paris apartment rental near Notre Dame,1242,5th arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-notre-dame/6801740953.html,33,
869,Apartment on Rue Commines,1000,5th arrondissement,https://paris.craigslist.org/apa/d/apartment-on-rue-commines/6801740861.html,30,
870,Beautiful Studio with loft in 3rd Arrondissement,500,3rd Arrondissement,https://paris.craigslist.org/apa/d/beautiful-studio-with-loft-in-3rd/6801726615.html,,1
871,Amazing studio / Amazing studio in Rue du Temple,500,4th Arrondissement,https://paris.craigslist.org/apa/d/amazing-studio-amazing-studio-in-rue-du/6801723324.html,,1
872,"1BR, 50sqm, avenue du General Leclerc",1600,14th arrondissement,https://paris.craigslist.org/apa/d/1br-50sqm-avenue-du-general-leclerc/6801716566.html,50,
873,Appartement à Champ de Mars à Paris,1450,7ème arrondissement,https://paris.craigslist.org/apa/d/appartement-champ-de-mars-paris/6801716293.html,37,
874,Your flat in Paris for a long term stay,,Paris,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6801716201.html,,
875,Appartement à Quartier Latin à Paris,4000,,https://paris.craigslist.org/apa/d/appartement-quartier-latin-paris/6801716108.html,95,
876,Appartement à La Villette à Paris,1127,19ème arrondissement,https://paris.craigslist.org/apa/d/appartement-la-villette-paris/6801716023.html,35,
877,"2ème arrondissement, Studio rue de Richelieu",900,2ème arrondissement,https://paris.craigslist.org/apa/d/2me-arrondissement-studio-rue-de/6801698311.html,18,
878,Paris apartment rental near Gobelins,1500,13th arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-gobelins/6801693788.html,45,
879,Your flat in Paris for a long term stay,,Paris,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6801693496.html,,
880,Paris apartment rental near Buttes Chaumont,1350,,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-buttes/6801693103.html,40,
881,"1BR, 50sqm, avenue du General Leclerc",1600,14th arrondissement,https://paris.craigslist.org/apa/d/1br-50sqm-avenue-du-general-leclerc/6801692059.html,50,
882,Studio Apt Btw Bastille and République,600,Boulevard Jules Ferry,https://paris.craigslist.org/apa/d/studio-apt-btw-bastille-and-rpublique/6801660646.html,,1
883,Studio Apt Btw Bastille and République,600,Boulevard Jules Ferry,https://paris.craigslist.org/apa/d/studio-apt-btw-bastille-and-rpublique/6801660609.html,,1
884,Very Clear and Quiet Apartment Close to Eiffel Tower,550,Rue des Entrepreneurs,https://paris.craigslist.org/apa/d/very-clear-and-quiet-apartment-close-to/6799432104.html,,1
885,Private Apartment near Tour Eiffel,500,Rue Saint-Didier,https://paris.craigslist.org/apa/d/private-apartment-near-tour-eiffel/6799439846.html,,1
886,Private Apartment near Tour Eiffel,500,Rue Saint-Didier,https://paris.craigslist.org/apa/d/private-apartment-near-tour-eiffel/6799439805.html,,1
887,Comfortable studio bright Apt with open view,550,Rue Saint-Jacques,https://paris.craigslist.org/apa/d/comfortable-studio-bright-apt-with-open/6799944915.html,,1
888,Comfortable studio bright Apt with open view,550,Rue Saint-Jacques,https://paris.craigslist.org/apa/d/comfortable-studio-bright-apt-with-open/6799944548.html,,1
889,Comfortable studio bright Apt with open view,550,Rue Saint-Jacques,https://paris.craigslist.org/apa/d/comfortable-studio-bright-apt-with-open/6799944755.html,,1
890,Studio-Apartments-very-close 2 Louvre,450,Rue du Pélican,https://paris.craigslist.org/apa/d/studio-apartments-very-close-2-louvre/6799939806.html,,1
891,Studio-Apartments-very-close 2 Louvre,450,Rue du Pélican,https://paris.craigslist.org/apa/d/studio-apartments-very-close-2-louvre/6799939832.html,,1
892,Studio  AVAILABLE IN THE HEART OF Paris,450,Rue Mazarine,https://paris.craigslist.org/apa/d/studio-available-in-the-heart-of-paris/6793678412.html,,1
893,Studio Apartment 25min walk from the Eiffel Tower,500,Rue Auguste Vitu,https://paris.craigslist.org/apa/d/studio-apartment-25min-walk-from-the/6799434890.html,,1
894,Very Clear and Quiet Apartment Close to Eiffel Tower,550,Rue des Entrepreneurs,https://paris.craigslist.org/apa/d/very-clear-and-quiet-apartment-close-to/6799432087.html,,1
895,Parisian Apartment with a beautiful view,450,Rue de Trétaigne,https://paris.craigslist.org/apa/d/parisian-apartment-with-beautiful-view/6793147546.html,,1
896,Comfort for two still Available,550,Rue Mazarine,https://paris.craigslist.org/apa/d/comfort-for-two-still-available/6801656748.html,,1
897,Comfort for two still Available,550,Rue Mazarine,https://paris.craigslist.org/apa/d/comfort-for-two-still-available/6801656735.html,,1
898,Comfort for two still Available,550,Rue Mazarine,https://paris.craigslist.org/apa/d/comfort-for-two-still-available/6801656461.html,,1
899,Paris 5th Latin Quarter Furnished 2 room apt.,1800,Rue de La Harpe,https://paris.craigslist.org/apa/d/paris-5th-latin-quarter-furnished-2/6801165021.html,473,1
900,Apartment studio near Marais in Paris,960,4th arrondissement,https://paris.craigslist.org/apa/d/apartment-studio-near-marais-in-paris/6801117456.html,21,
901,Your flat in Paris for a long term stay,,Paris,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6801116406.html,,
902,Apartment studio near Villiers in Paris,950,17th arrondissement,https://paris.craigslist.org/apa/d/apartment-studio-near-villiers-in-paris/6801115101.html,23,
903,"Appartement 2 chambres, Rue Custine",1990,18ème arrondissement,https://paris.craigslist.org/apa/d/appartement-2-chambres-rue-custine/6801114658.html,57,
904,2 pièces 25m² Rue de la Mare,900,20ème,https://paris.craigslist.org/apa/d/2-pices-25m-rue-de-la-mare/6801114395.html,25,
905,Studio Apartment In Rue des Jeuneurs,550,Paris,https://paris.craigslist.org/apa/d/studio-apartment-in-rue-des-jeuneurs/6781441723.html,15,1
906,Studio Apartment In Rue des Jeuneurs,550,Paris,https://paris.craigslist.org/apa/d/studio-apartment-in-rue-des-jeuneurs/6781656612.html,15,1
907,Studio Luxueux Aux Buttes Chaumont,500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6782449098.html,27,1
908,Studio Luxueux Aux Buttes Chaumont,500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6782449082.html,27,1
909,- 70m2  Stylish and modern rooftop apartment!,1950,Paris Rambuteau - Rue St Martin,https://paris.craigslist.org/apa/d/70m2-stylish-and-modern-rooftop/6800978219.html,,
910,Totally furnished with separate kitchen,1590,Paris Bastille Marais - Bd Richard Lenoir-,https://paris.craigslist.org/apa/d/totally-furnished-with-separate-kitchen/6800959596.html,,
911,- 2 Bedroom apartment in a very convenient location,1850,North-West St Cloud - Residence Beausoleil,https://paris.craigslist.org/apa/d/2-bedroom-apartment-in-very-convenient/6800970418.html,,
912,Furnished Studio Apartment in heart of Paris,400,6th Arrondissement,https://paris.craigslist.org/apa/d/furnished-studio-apartment-in-heart-of/6800922195.html,,1
913,- 1 Bedroom Apartment- Renovated!,1599,Paris Censier Daubenton - Rue du Fer a Moulin,https://paris.craigslist.org/apa/d/1-bedroom-apartment-renovated/6800965293.html,,
914,Spacious 1 Bedroom Apartment @  36m2,1499,Paris Victor Hugo - Rue Lauriston,https://paris.craigslist.org/apa/d/spacious-1-bedroom-apartment-36m2/6800955863.html,,
915,- 1 Bedroom apartment adjacent to Metro Cambronne,1550,Paris Cambronne - Villa Croix Nivert,https://paris.craigslist.org/apa/d/1-bedroom-apartment-adjacent-to-metro/6800957421.html,,
916,Furnished 50m2 apartment with balcony,1499,Paris Buttes Chaumont- Rue Compans,https://paris.craigslist.org/apa/d/furnished-50m2-apartment-with-balcony/6800952880.html,,
917,Calm and sunny fully furnished apartment,1299,Paris Marcadet Poissonieres Rue Marcadet,https://paris.craigslist.org/apa/d/calm-and-sunny-fully-furnished-apartment/6800940218.html,,
918,- 1 Bedroom  apartment in a very calm street-,1299,Paris Pernety - Rue de la Sabliere,https://paris.craigslist.org/apa/d/1-bedroom-apartment-in-very-calm-street/6800941508.html,,
919,- Studio -  apartment in a great location,750,Paris Bastille - Rue de Charonne,https://paris.craigslist.org/apa/d/studio-apartment-in-great-location/6800930596.html,,
920,One bedroom apartment fully furnished!,1050,Paris Montmartre - Rue Labat-,https://paris.craigslist.org/apa/d/one-bedroom-apartment-fully-furnished/6800936250.html,,
921,Lovely Studio Apt Available in rue du Temple 4th Arrondissement,500,4th Arrondissement,https://paris.craigslist.org/apa/d/lovely-studio-apt-available-in-rue-du/6800909549.html,,1
922,"1 Bedroom apartment, 5th floor !",1100,Paris Avenue la Motte Piquet - Boulevard Grenelle,https://paris.craigslist.org/apa/d/1-bedroom-apartment-5th-floor/6800939279.html,,
923,Charming and quiet studio in a great 17th century,1099,Paris Glaciere - Rue des Tanneries,https://paris.craigslist.org/apa/d/charming-and-quiet-studio-in-great-17th/6800938527.html,,
924,Studio with elevator in perfect condition!,800,Paris Passy - Rue Benjamin Franklin,https://paris.craigslist.org/apa/d/studio-with-elevator-in-perfect/6800934821.html,,
925,A 24 sqm studio in Montmartre!,1090,Paris Abbesses - Rue Durantin,https://paris.craigslist.org/apa/d/24-sqm-studio-in-montmartre/6800937208.html,,
926,Secure underground parking place.,60,Paris,https://paris.craigslist.org/apa/d/secure-underground-parking-place/6800924777.html,,
927,Large one bedroom 70m2 apartment,2575,Paris Voltaire - Avenue Parmentier-,https://paris.craigslist.org/apa/d/large-one-bedroom-70m2-apartment/6800922075.html,,
928,Updated Apartment: 3 Bedroom - 112m2,2999,North-West St Cloud - Allee Florent Schmitt,https://paris.craigslist.org/apa/d/updated-apartment-3-bedroom-112m2/6800923428.html,,
929,3125 1 Bedroom Apartment in 6th-arrondissement,3125,6th-arrondissement,https://paris.craigslist.org/apa/d/bedroom-apartment-in-6th-arrondissement/6800919669.html,,1
930,"Appartement 2 chambres, Rue Custine",1990,18ème arrondissement,https://paris.craigslist.org/apa/d/appartement-2-chambres-rue-custine/6800898846.html,57,
931,Your flat in Paris for a long term stay,,Paris,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6800898438.html,,
932,Paris apartment rental near Martyrs,1800,,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-martyrs/6800898337.html,63,
933,Furnished 2BR apartment (46sqm) rue Berzélius,1550,Paris 17th arrondissement,https://paris.craigslist.org/apa/d/furnished-2br-apartment-46sqm-rue/6800897984.html,46,
934,Appartement à Quartier Latin à Paris,4000,,https://paris.craigslist.org/apa/d/appartement-quartier-latin-paris/6800897844.html,95,
935,Your flat in Paris for a long term stay,,Paris,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6800879492.html,,
936,Studio Avenue Georges Mandel,1450,16ème  arrondissement,https://paris.craigslist.org/apa/d/studio-avenue-georges-mandel/6800879421.html,36,
937,Appartement à Champ de Mars à Paris,1450,7ème arrondissement,https://paris.craigslist.org/apa/d/appartement-champ-de-mars-paris/6800879349.html,37,
938,Paris apartment rental near Notre Dame,1242,5th arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-notre-dame/6800879285.html,33,
939,"Paris apartment rental on a quiet street, Villa Verlaine",1350,,https://paris.craigslist.org/apa/d/paris-apartment-rental-on-quiet-street/6800879130.html,40,
940,Apartment near Marais on Rue des Gravilliers,1100,3rd arrondissement,https://paris.craigslist.org/apa/d/apartment-near-marais-on-rue-des/6800868587.html,25,
941,Paris duplex apartment rental near Les Halles,990,2nd arrondissement,https://paris.craigslist.org/apa/d/paris-duplex-apartment-rental-near-les/6800867196.html,18,
942,Your flat in Paris for a long term stay,,Paris,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6800865980.html,,
943,Appartement à Buttes Chaumont,860,19ème arrondissement,https://paris.craigslist.org/apa/d/appartement-buttes-chaumont/6800865443.html,20,
944,"1BR (26sqm), Rue des Roses",900,18th arrondissement,https://paris.craigslist.org/apa/d/1br-26sqm-rue-des-roses/6800864073.html,26,
945,Cozy apartment in the center of Paris free Wi-fi,550,Boulevard Saint-Germain,https://paris.craigslist.org/apa/d/cozy-apartment-in-the-center-of-paris/6800838332.html,,1
946,Darkened Apt in the heart of Paris,550,Passage Cottin,https://paris.craigslist.org/apa/d/darkened-apt-in-the-heart-of-paris/6800842762.html,,1
947,Darkened Apt in the heart of Paris,550,Passage Cottin,https://paris.craigslist.org/apa/d/darkened-apt-in-the-heart-of-paris/6800842734.html,,1
948,Cozy apartment in the center of Paris free Wi-fi,550,Boulevard Saint-Germain,https://paris.craigslist.org/apa/d/cozy-apartment-in-the-center-of-paris/6800838444.html,,1
949,Cozy apartment in the center of Paris free Wi-fi,550,Boulevard Saint-Germain,https://paris.craigslist.org/apa/d/cozy-apartment-in-the-center-of-paris/6800838472.html,,1
950,Studio Apartment In Rue des Jeuneurs,550,Paris,https://paris.craigslist.org/apa/d/studio-apartment-in-rue-des-jeuneurs/6781412869.html,15,
951,Studio Luxueux Aux Buttes Chaumont,500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6779828612.html,27,1
952,Studio Luxueux Aux Buttes Chaumont,500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6779390342.html,27,1
953,meuble 2 pieces + mezzanine,1500,Rue Marie Stuart,https://paris.craigslist.org/apa/d/meuble-2-pieces-mezzanine/6800763291.html,36,1
954,"SUPERB, NEWLY & EXTREMELY FURNISHED 1-BEDROOM APARTMENT FOR RENT!!!",700,PARIS,https://paris.craigslist.org/apa/d/superb-newly-extremely-furnished-1/6789822385.html,,1
955,Magnify  Self  Catering  Accommodation,650,Aix en Provence  France,https://paris.craigslist.org/apa/d/magnify-self-catering-accommodation/6800461174.html,,1
956,"2ème arrondissement, Studio rue de Richelieu",900,2ème arrondissement,https://paris.craigslist.org/apa/d/2me-arrondissement-studio-rue-de/6800260174.html,18,
957,Paris apartment rental near Invalides,2100,7th arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-invalides/6800258786.html,58,
958,Your flat in Paris for a long term stay,,Paris,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6800256780.html,,
959,"Paris apartment rental on a quiet street, Villa Verlaine",1350,,https://paris.craigslist.org/apa/d/paris-apartment-rental-on-quiet-street/6800255687.html,40,
960,Appartement à La Villette à Paris,1127,19ème arrondissement,https://paris.craigslist.org/apa/d/appartement-la-villette-paris/6800254030.html,35,
961,A furnished studio flat to let in the Marais  for 2 - 12 months,750,Hotel de ville,https://paris.craigslist.org/apa/d/furnished-studio-flat-to-let-in-the/6800139153.html,11,1
962,Your flat in Paris for a long term stay,,Paris,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6800035691.html,,
963,Appartement à Quartier Latin à Paris,4000,,https://paris.craigslist.org/apa/d/appartement-quartier-latin-paris/6800035634.html,95,
964,House à Place d'Italie,1650,13ème arrondissement,https://paris.craigslist.org/apa/d/house-place-ditalie/6800035547.html,60,
965,"1BR, 50sqm, avenue du General Leclerc",1600,14th arrondissement,https://paris.craigslist.org/apa/d/1br-50sqm-avenue-du-general-leclerc/6800035492.html,50,
966,Paris apartment rental near Martyrs,1800,,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-martyrs/6800035419.html,63,
967,Studio Luxueux Aux Buttes Chaumont,500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6779389941.html,27,1
968,White Lighty Apartment For Renting,550,Rue Lepic,https://paris.craigslist.org/apa/d/white-lighty-apartment-for-renting/6795177757.html,43,1
969,White Lighty Apartment For Renting,550,Rue Lepic,https://paris.craigslist.org/apa/d/white-lighty-apartment-for-renting/6794419247.html,43,1
970,Studio Luxueux Aux Buttes Chaumont,500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6778427365.html,27,1
971,Lovely Apartment In Paris,450,Passage Thiéré,https://paris.craigslist.org/apa/d/lovely-apartment-in-paris/6778419624.html,13,1
972,Studio Luxueux Aux Buttes Chaumont,500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6778976397.html,27,1
973,Your flat in Paris for a long term stay,,Paris,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6800013460.html,,
974,Paris apartment rental near Buttes Chaumont,1350,,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-buttes/6800013390.html,40,
975,Charming studio near Boulainvilliers,950,16th arrondissement,https://paris.craigslist.org/apa/d/charming-studio-near-boulainvilliers/6800013263.html,15,
976,Paris apartment rental near Notre Dame,1242,5th arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-notre-dame/6800013187.html,33,
977,Appartement à Quartier Latin à Paris,4000,,https://paris.craigslist.org/apa/d/appartement-quartier-latin-paris/6800013110.html,95,
978,Studio Luxueux Aux Buttes Chaumont,500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6778435559.html,27,1
979,Apartment on Rue Commines,1000,5th arrondissement,https://paris.craigslist.org/apa/d/apartment-on-rue-commines/6799989891.html,30,
980,Apartment near Marais on Rue des Gravilliers,1100,3rd arrondissement,https://paris.craigslist.org/apa/d/apartment-near-marais-on-rue-des/6799989523.html,25,
981,Your flat in Paris for a long term stay,,,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6799989126.html,,
982,Appartement à Champ de Mars à Paris,1450,7ème arrondissement,https://paris.craigslist.org/apa/d/appartement-champ-de-mars-paris/6799988759.html,37,
983,"1BR (26sqm), Rue des Roses",900,18th arrondissement,https://paris.craigslist.org/apa/d/1br-26sqm-rue-des-roses/6799988359.html,26,
